OBJECTID,COUNTYFP10,GEOID10,NAME10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,CO_CODE,DISTRICT,SHAPE_Length,SHAPE_Area
1,059,06059,Orange,2047561084,407916814,+33.6756872,-117.7772068,ORA,12,361132.214598274,2983917993.09012
2,103,06103,Tehama,7639709781,32276063,+40.1261561,-122.2322757,TEH,2,624790.464302519,13137373196.3418
3,011,06011,Colusa,2980379369,14581020,+39.1777385,-122.2375629,COL,3,386020.915542128,4990791816.94279
4,083,06083,Santa Barbara,7083838022,2729829365,+34.5373784,-120.0384850,SB,5,515510.722554286,9816122470.0686
5,051,06051,Mono,7896827391,214695487,+37.9158363,-118.8751668,MNO,9,694670.334570521,13057059555.4617
6,053,06053,Monterey,8496702738,1270714482,+36.2401070,-121.3155732,MON,5,797937.342623121,13215387908.7207
7,061,06061,Placer,3644136017,247205361,+39.0620324,-120.7227181,PLA,3,534328.282685098,6463333038.25775
8,005,06005,Amador,1539962991,29456575,+38.4435501,-120.6538563,AMA,10,359582.551216408,2562528536.38789
9,009,06009,Calaveras,2641819725,43810420,+38.1878437,-120.5551154,CAL,10,367154.16229946,4356215407.80934
10,025,06025,Imperial,10817352524,790247942,+33.0408155,-115.3553946,IMP,11,593215.889659575,16557506178.6236
11,093,06093,Siskiyou,16259652221,179889482,+41.5879861,-122.5332868,SIS,2,895845.597066592,29413729632.6388
12,097,06097,Sonoma,4081430136,497530353,+38.5325740,-122.9451943,SON,4,525681.870399091,6795125764.80306
13,085,06085,Santa Clara,3341343470,36174996,+37.2207774,-121.6906224,SCL,4,432195.218859365,5337684254.16281
14,029,06029,Kern,21061565098,79577235,+35.3466288,-118.7295064,KER,6,862166.24697026,31845432033.4842
15,113,06113,Yolo,2628032408,22969178,+38.6792682,-121.9031776,YOL,3,417478.967442596,4357299001.9079
16,045,06045,Mendocino,9081386386,962952644,+39.4323876,-123.4428811,MEN,1,805599.455028565,15274897629.3066
17,067,06067,Sacramento,2498415670,76077248,+38.4500114,-121.3404409,SAC,3,406141.373082485,4204024424.07614
18,039,06039,Madera,5534982985,41957504,+37.2100387,-119.7498519,MAD,6,600744.053016389,8810571914.1939
19,115,06115,Yuba,1636454192,30998568,+39.2700256,-121.3442802,YUB,3,364067.403263064,2785847907.1283
20,107,06107,Tulare,12494658169,37391616,+36.2304529,-118.7805422,TUL,6,645932.677635716,19294865215.2524
21,073,06073,San Diego,10895120648,826347909,+33.0236041,-116.7761174,SD,11,731431.537269515,15658017515.6091
22,063,06063,Plumas,6612350713,156395470,+39.9951699,-120.8295155,PLU,2,657318.578567166,11549993905.5551
23,069,06069,San Benito,3596742302,4555039,+36.6107024,-121.0852960,SBT,5,456542.91897319,5599449032.19177
24,089,06089,Shasta,9778246966,186530888,+40.7605215,-122.0435495,SHA,2,707781.145558254,17388076356.2716
25,099,06099,Stanislaus,3871582888,51437339,+37.5623842,-121.0026557,STA,10,474119.248537311,6253382909.80267
26,043,06043,Mariposa,3752416976,36271400,+37.5700335,-119.9128599,MPA,10,427765.239453164,6043123830.76193
27,019,06019,Fresno,15431126407,137815999,+36.7610058,-119.6550193,FRE,6,1105194.39771679,24302959459.6039
28,003,06003,Alpine,1912271907,12557251,+38.6176096,-119.7989986,ALP,10,275563.707191649,3155933431.09771
29,041,06041,Marin,1347585521,797420433,+38.0518169,-122.7459738,MRN,4,461826.594166128,2478236999.49298
