YEAR,GENDER,RACE,AGE_GROUP,COUNTY,Violent Crimes,Property Crime,Drug Offenses,Sex Offenses,All Other Offenses,Female Total,Male Total,State Total
2014,Male,Black,Under 18,Alameda County,195,137,16,9,40,397,272,37
2014,Male,Black,18 to 19,Alameda County,99,91,53,1,86,330,214,0
2014,Male,Black,20 to 29,Alameda County,384,329,454,23,379,1569,1801,0
2014,Male,Black,30 to 39,Alameda County,226,237,366,15,211,1055,1536,0
2014,Male,Black,40 to 69,Alameda County,300,416,602,27,245,1590,2557,0
2014,Male,Black,70 and over,Alameda County,3,2,5,1,2,13,45,0
2014,Male,Hispanic,Under 18,Alameda County,83,119,27,7,26,262,256,33
2014,Male,Hispanic,18 to 19,Alameda County,63,61,76,0,51,251,360,0
2014,Male,Hispanic,20 to 29,Alameda County,246,203,359,12,190,1010,2289,0
2014,Male,Hispanic,30 to 39,Alameda County,191,169,284,14,123,781,1671,0
2014,Male,Hispanic,40 to 69,Alameda County,112,89,239,18,95,553,1550,0
2014,Male,Hispanic,70 and over,Alameda County,1,1,0,1,1,4,10,0
2014,Male,Other,Under 18,Alameda County,26,20,6,4,8,64,91,9
2014,Male,Other,18 to 19,Alameda County,11,23,9,0,18,61,136,0
2014,Male,Other,20 to 29,Alameda County,88,77,159,4,58,386,1051,0
2014,Male,Other,30 to 39,Alameda County,69,73,88,3,45,278,641,0
2014,Male,Other,40 to 69,Alameda County,107,50,87,10,36,290,723,0
2014,Male,Other,70 and over,Alameda County,1,0,0,0,0,1,17,0
2014,Male,White,Under 18,Alameda County,29,19,13,4,18,83,120,14
2014,Male,White,18 to 19,Alameda County,20,23,40,1,15,99,199,0
2014,Male,White,20 to 29,Alameda County,141,169,361,4,139,814,1835,0
2014,Male,White,30 to 39,Alameda County,115,127,279,4,115,640,1410,0
2014,Male,White,40 to 69,Alameda County,195,169,462,20,174,1020,2620,0
2014,Male,White,70 and over,Alameda County,4,2,1,1,2,10,55,0
2014,Female,Black,Under 18,Alameda County,39,47,1,1,7,95,172,48
2014,Female,Black,18 to 19,Alameda County,31,40,10,0,14,95,225,0
2014,Female,Black,20 to 29,Alameda County,135,164,69,3,75,446,1124,0
2014,Female,Black,30 to 39,Alameda County,81,95,70,0,56,302,634,0
2014,Female,Black,40 to 69,Alameda County,85,116,77,0,62,340,725,0
2014,Female,Black,70 and over,Alameda County,0,1,0,0,0,1,5,0
2014,Female,Hispanic,Under 18,Alameda County,25,10,5,1,3,44,91,20
2014,Female,Hispanic,18 to 19,Alameda County,8,12,7,0,4,31,109,0
2014,Female,Hispanic,20 to 29,Alameda County,53,69,60,1,35,218,683,0
2014,Female,Hispanic,30 to 39,Alameda County,38,43,45,0,25,151,394,0
2014,Female,Hispanic,40 to 69,Alameda County,33,20,29,0,11,93,321,0
2014,Female,Hispanic,70 and over,Alameda County,1,0,0,0,0,1,2,0
2014,Female,Other,Under 18,Alameda County,5,3,1,0,3,12,36,8
2014,Female,Other,18 to 19,Alameda County,6,5,0,0,2,13,46,0
2014,Female,Other,20 to 29,Alameda County,34,30,20,0,4,88,356,0
2014,Female,Other,30 to 39,Alameda County,34,35,27,3,9,108,262,0
2014,Female,Other,40 to 69,Alameda County,21,25,17,0,22,85,229,0
2014,Female,Other,70 and over,Alameda County,0,0,0,0,1,1,13,0
2014,Female,White,Under 18,Alameda County,10,6,4,2,3,25,73,12
2014,Female,White,18 to 19,Alameda County,8,13,13,0,4,38,103,0
2014,Female,White,20 to 29,Alameda County,47,65,129,0,46,287,871,0
